,平均目标值
0,4746.77
1,4746.77
2,4746.77
3,4746.77
4,4746.77
5,4746.77
6,4746.77
7,4746.77
8,4746.77
9,4746.77
10,4746.77
11,4746.77
12,4746.77
13,4746.77
14,4746.77
15,4746.77
16,4746.77
17,4746.77
18,4746.77
19,4746.77
20,4746.77
21,4746.77
22,4746.77
23,4746.77
24,4746.77
25,4746.77
26,4746.77
27,4746.77
28,4746.77
29,4746.77
30,4746.77
31,4746.77
32,4746.77
33,4746.77
34,4746.77
35,4746.77
36,4746.77
37,4746.77
38,4746.77
39,4746.77
40,4746.77
41,4746.77
42,4746.77
43,4746.77
44,4746.77
45,4746.77
46,4746.77
47,4746.77
48,4746.77
49,4746.77
50,4746.77
51,4746.77
52,4746.77
53,4746.77
54,4746.77
55,4746.77
56,4746.77
57,4746.77
58,4746.77
59,4746.77
60,4746.77
61,4746.77
62,4746.77
63,4746.77
64,4746.77
65,4746.77
66,4746.77
67,4746.77
68,4746.77
69,4746.77
70,4746.77
71,4746.77
72,4746.77
73,4746.77
74,4746.77
75,4746.77
76,4746.77
77,4746.77
78,4746.77
79,4746.77
80,4746.77
81,4746.77
82,4746.77
83,4746.77
84,4746.77
85,4746.77
86,4746.77
87,4746.77
88,4746.77
89,4746.77
90,4746.77
91,4746.77
92,4746.77
93,4746.77
94,4746.77
95,4746.77
96,4746.77
97,4746.77
98,4746.77
99,4746.77
100,4746.77
101,4746.77
102,4746.77
103,4746.77
104,4746.77
105,4746.77
106,4746.77
107,4746.77
108,4746.77
109,4746.77
110,4746.77
111,4746.77
112,4746.77
113,4746.77
114,4746.77
115,4746.77
116,4746.77
117,4746.77
118,4746.77
119,4746.77
120,4746.77
121,4746.77
122,4746.77
123,4746.77
124,4746.77
125,4746.77
126,4746.77
127,4746.77
128,4746.77
129,4746.77
130,4746.77
131,4746.77
132,4746.77
133,4746.77
134,4746.77
135,4746.77
136,4746.77
137,4746.77
138,4746.77
139,4746.77
140,4746.77
141,4746.77
142,4746.77
143,4746.77
144,4746.77
145,4746.77
146,4746.77
147,4746.77
148,4746.77
149,4746.77
150,4746.77
151,4746.77
152,4746.77
153,4746.77
154,4746.77
155,4746.77
156,4746.77
157,4746.77
158,4746.77
159,4746.77
160,4746.77
161,4746.77
162,4746.77
163,4746.77
164,4746.77
165,4746.77
166,4746.77
167,4746.77
168,4746.77
169,4746.77
170,4746.77
171,4746.77
172,4746.77
173,4746.77
174,4746.77
175,4746.77
176,4746.77
177,4746.77
178,4746.77
179,4746.77
180,4746.77
181,4746.77
182,4746.77
183,4746.77
184,4746.77
185,4746.77
186,4746.77
187,4746.77
188,4692.1
189,4692.1
190,4692.1
191,4692.1
192,4692.1
193,4692.1
194,4692.1
195,4692.1
196,4692.1
197,4692.1
198,4692.1
199,4692.1
200,4692.1
201,4692.1
202,4692.1
203,4692.1
204,4692.1
205,4692.1
206,4692.1
207,4692.1
208,4692.1
209,4692.1
210,4692.1
211,4692.1
212,4692.1
213,4692.1
214,4692.1
215,4692.1
216,4692.1
217,4692.1
218,4692.1
219,4692.1
220,4692.1
221,4692.1
222,4692.1
223,4692.1
224,4692.1
225,4692.1
226,4692.1
227,4692.1
228,4692.1
229,4692.1
230,4692.1
231,4692.1
232,4692.1
233,4692.1
234,4692.1
235,4692.1
236,4692.1
237,4692.1
238,4692.1
239,4692.1
240,4692.1
241,4692.1
242,4692.1
243,4692.1
244,4692.1
245,4692.1
246,4692.1
247,4692.1
248,4692.1
249,4692.1
250,4692.1
251,4692.1
252,4692.1
253,4692.1
254,4692.1
255,4692.1
256,4692.1
257,4692.1
258,4692.1
259,4692.1
260,4692.1
261,4692.1
262,4692.1
263,4692.1
264,4692.1
265,4692.1
266,4692.1
267,4692.1
268,4692.1
269,4692.1
270,4692.1
271,4692.1
272,4692.1
273,4692.1
274,4692.1
275,4692.1
276,4692.1
277,4692.1
278,4692.1
279,4692.1
280,4692.1
281,4692.1
282,4692.1
283,4692.1
284,4692.1
285,4692.1
286,4692.1
287,4692.1
288,4692.1
289,4692.1
290,4692.1
291,4692.1
292,4692.1
293,4692.1
294,4692.1
295,4692.1
296,4692.1
297,4692.1
298,4692.1
299,4692.1
