,平均目标值
0,4542.05
1,4535.74
2,4530.16
3,4526.82
4,4480.91
5,4449.04
6,4443.76
7,4407.22
8,4405.78
9,4405.26
10,4404.86
11,4402.36
12,4401.3
13,4398.42
14,4392.72
15,4388.78
16,4374.35
17,4368.83
18,4367.38
19,4366.15
20,4361.67
21,4359.61
22,4343.31
23,4339.99
24,4336.13
25,4336.0
26,4329.66
27,4326.88
28,4320.34
29,4316.4
30,4309.58
31,4306.15
32,4294.52
33,4280.16
34,4273.3
35,4271.48
36,4233.15
37,4230.9
38,4226.08
39,4223.91
40,4188.51
41,4183.09
42,4181.69
43,4178.42
44,4176.8
45,4170.43
46,4141.18
47,4139.14
48,4128.22
49,4128.22
50,4128.22
51,4128.22
52,4128.22
53,4128.22
54,4128.22
55,4128.22
56,4128.22
57,4128.22
58,4128.22
59,4128.22
60,4128.22
61,4128.22
62,4128.22
63,4128.22
64,4128.22
65,4128.22
66,4128.22
67,4128.22
68,4128.22
69,4128.22
70,4128.22
71,4128.22
72,4128.22
73,4128.22
74,4128.22
75,4128.22
76,4128.22
77,4128.22
78,4128.22
79,4128.22
80,4128.22
81,4128.22
82,4128.22
83,4128.22
84,4128.22
85,4128.22
86,4128.22
87,4128.22
88,4128.22
89,4128.22
90,4128.22
91,4128.22
92,4128.22
93,4128.22
94,4128.22
95,4128.22
96,4128.22
97,4128.22
98,4128.22
99,4128.22
100,4128.22
101,4128.22
102,4128.22
103,4128.22
104,4128.22
105,4128.22
106,4128.22
107,4128.22
108,4128.22
109,4128.22
110,4128.22
111,4128.22
112,4128.22
113,4128.22
114,4128.22
115,4128.22
116,4128.22
117,4128.22
118,4128.22
119,4128.22
120,4128.22
121,4128.22
122,4128.22
123,4128.22
124,4128.22
125,4128.22
126,4128.22
127,4128.22
128,4128.22
129,4128.22
130,4128.22
131,4128.22
132,4128.22
133,4128.22
134,4128.22
135,4128.22
136,4128.22
137,4128.22
138,4128.22
139,4128.22
140,4128.22
141,4128.22
142,4128.22
143,4128.22
144,4128.22
145,4128.22
146,4128.22
147,4128.22
148,4128.22
149,4128.22
150,4128.22
151,4128.22
152,4128.22
153,4128.22
154,4128.22
155,4128.22
156,4128.22
157,4128.22
158,4128.22
159,4128.22
160,4128.22
161,4128.22
162,4128.22
163,4128.22
164,4128.22
165,4128.22
166,4128.22
167,4128.22
168,4128.22
169,4128.22
170,4128.22
171,4128.22
172,4128.22
173,4128.22
174,4128.22
175,4128.22
176,4128.22
177,4128.22
178,4128.22
179,4128.22
180,4128.22
181,4128.22
182,4128.22
183,4128.22
184,4128.22
185,4128.22
186,4128.22
187,4128.22
188,4128.22
189,4128.22
190,4128.22
191,4128.22
192,4128.22
193,4128.22
194,4128.22
195,4128.22
196,4128.22
197,4128.22
198,4128.22
199,4128.22
200,4128.22
201,4128.22
202,4128.22
203,4128.22
204,4128.22
205,4128.22
206,4128.22
207,4128.22
208,4128.22
209,4128.22
210,4128.22
211,4128.22
212,4128.22
213,4128.22
214,4128.22
215,4128.22
216,4128.22
217,4128.22
218,4128.22
219,4128.22
220,4128.22
221,4128.22
222,4128.22
223,4128.22
224,4128.22
225,4128.22
226,4128.22
227,4128.22
228,4128.22
229,4128.22
230,4128.22
231,4128.22
232,4128.22
233,4128.22
234,4128.22
235,4128.22
236,4128.22
237,4128.22
238,4128.22
239,4128.22
240,4128.22
241,4128.22
242,4128.22
243,4128.22
244,4128.22
245,4128.22
246,4128.22
247,4128.22
248,4128.22
249,4128.22
250,4128.22
251,4128.22
252,4128.22
253,4128.22
254,4128.22
255,4128.22
256,4128.22
257,4128.22
258,4128.22
259,4128.22
260,4128.22
261,4128.22
262,4128.22
263,4128.22
264,4128.22
265,4128.22
266,4128.22
267,4128.22
268,4128.22
269,4128.22
270,4128.22
271,4128.22
272,4128.22
273,4128.22
274,4128.22
275,4128.22
276,4128.22
277,4128.22
278,4128.22
279,4128.22
280,4128.22
281,4128.22
282,4128.22
283,4128.22
284,4128.22
285,4128.22
286,4128.22
287,4128.22
288,4128.22
289,4128.22
290,4128.22
291,4128.22
292,4128.22
293,4128.22
294,4128.22
295,4128.22
296,4128.22
297,4128.22
298,4128.22
299,4128.22
